lakeid,lake.name,utm.east,utm.north
1,Arbor Lake,522208,4620023
2,Arrowhead Pond,283366,4590394
3,Arrowhead Lake,330913,4684821
4,Avenue of the Saints Pond,537932,4728217
5,Badger Creek Lake,423948,4591311
6,Badger Lake,402152,4715564
7,Beaver Lake,398857,4598583
8,Beeds Lake,480648,4735349
9,Big Creek Lake,439195,4627158
10,Big Spirit Lake,331474,4816182
11,Black Hawk Lake,332737,4684676
13,Bob White Lake,466195,4507529
14,Briggs Woods Lake,434340,4698112
16,Brushy Creek Lake,419452,4693385
17,Carter Lake,256763,4574951
18,Casey Lake (aka Hickory Hills Lake),556799,4679422
19,Center Lake,327040,4808866
20,Central Park Lake,653994,4663939
21,Clear Lake,466268,4774806
22,Cold Springs Lake,325216,4573283
23,Coralville Reservoir,622362,4620490
24,Crawford Creek Impoundment,285029,4683695
25,Crystal Lake,435655,4786691
26,Dale Maffitt Reservoir,433925,4596551
28,DeSoto Bend,249869,4602795
29,Diamond Lake,537005,4603777
30,Dog Creek Lake,298673,4756706
31,Don Williams Lake,415668,4662752
32,East Lake (Osceola),437568,4542625
33,East Okoboji Lake,329240,4805563
34,Easter Lake,453561,4599467
35,Eldred Sherwood Lake,453913,4754481
36,Five Island Lake,365151,4778284
37,Fogle Lake,386075,4519012
38,George Wyth Lake,549227,4709350
39,Green Belt Lake,550258,4703153
40,Green Castle Lake,511599,4642026
41,Green Valley Lake,383771,4550594
42,Greenfield Lake,376097,4572809
43,Hannen Lake,573620,4635034
44,Hawthorne Lake (aka Barnes City Lake),545225,4591772
45,Hickory Grove Lake,469862,4648754
46,Hooper Area Pond,450572,4569736
47,Indian Lake,605625,4498378
48,Ingham Lake,362141,4797381
49,Kent Park Lake,605610,4619828
50,Lacey Keosauqua Park Lake,587005,4507197
51,Lake Ahquabi,450128,4571411
52,Lake Anita,351107,4587804
53,Lake Cornelia,443598,4737844
54,Lake Darling,591791,4561704
55,Geode Lake,636086,4519060
56,Lake Hendricks,536633,4802170
57,Lake Icaria,352814,4545589
58,Iowa Lake,568838,4609565
59,Lake Keomah,538737,4571624
60,Lake Manawa,260423,4565471
61,Lake MacBride,618554,4627833
62,Lake Meyer,588353,4780811
63,Lake Miami,513115,4552306
64,Minnewashta Lake,327892,4803075
65,Lake of the Hills,693835,4599221
66,Lake of Three Fires,357277,4507928
67,Orient Lake,379580,4561592
69,Lake Smith,399091,4775238
70,Lake Sugema,585532,4504193
71,Lake Wapello,535876,4518819
72,Little River Watershed Lake,434243,4511324
73,Little Sioux Park Lake,269535,4703168
74,Little Spirit Lake,328118,4819919
75,Little Wall Lake,447308,4679700
76,Littlefield Lake,351033,4602402
77,Lost Island Lake,345461,4781798
78,Lower Gar Lake,328162,4802118
79,Lower Pine Lake,493573,4690523
80,Manteno Park Pond,295220,4636448
81,Mariposa Lake,503131,4625051
82,Meadow Lake,379713,4582728
83,Meyer Lake,558422,4701286
84,Mill Creek Lake,282239,4762585
85,Mitchell Lake,556374,4703029
86,Moorhead Park Pond,295738,4692450
87,Mormon Trail Lake,362993,4567027
88,Nelson Park Lake,285400,4646003
89,Nine Eagles Lake,434654,4494280
90,North Twin Lake,365291,4703900
91,Oldham Lake,268956,4654446
92,Otter Creek Lake,539731,4654624
93,Ottumwa Lagoon,548005,4539674
94,Pierce Creek Pond,301205,4522705
95,Pleasant Creek Lake,598261,4664272
96,Poll Miller Park Lake,632119,4508044
97,Prairie Rose Lake,314460,4607886
98,Rathbun Reservoir,509274,4519647
99,Red Haw Lake,477125,4538894
100,Red Rock Reservoir,501442,4579858
101,Roberts Creek Lake,495911,4585546
102,Rock Creek Lake,512058,4620878
103,Rodgers Park Lake,576305,4672531
104,Saylorville Reservoir,442580,4617364
105,Silver Lake (Dickinson),310878,4812247
106,Silver Lake (Worth),465971,4814037
107,Silver Lake (Delaware),637621,4698155
108,Silver Lake (Palo Alto),346533,4765956
109,Slip Bluff Lake,427903,4500674
110,South Prairie Lake,544357,4703015
111,Spring Lake,393292,4657761
112,Springbrook Lake,378105,4625949
113,Storm Lake (incl Little Storm Lake),319246,4721151
114,Swan Lake,347597,4655325
115,Thayer Lake,410395,4541725
116,Three Mile Lake,398046,4547477
117,Trumbull Lake,341460,4784324
118,Tuttle Lake,370953,4817096
119,Twelve Mile Creek Lake,394545,4545652
120,Union Grove Lake,523137,4663698
121,Upper Gar Lake,328248,4804043
122,Upper Pine Lake,494546,4691273
123,Viking Lake,329262,4538076
124,Volga Lake,600406,4750016
125,West Okoboji Lake,325979,4804535
126,West Lake (Osceola),432337,4543511
127,White Oak Conservation Area Lake,543851,4569256
128,Williamson Pond,481905,4549487
129,Willow Lake,268170,4627925
130,Wilson Park Lake,369980,4521871
131,Windmill Lake,345758,4510391
132,Yellow Smoke Park Lake,307508,4654981
205,Belva Deer Lake,573309,4581050
245,Nodaway Lake,374603,4571962
257,Snyder Bend Lake,719695,4684482
259,Summit Lake,382604,4546330
300,Big Hollow Lake,648405,4533998
301,Rudd Lake,508794,4774780
